,datetime,usage
721,20190819T22-05,64768
722,20190819T21-05,67791
723,20190819T20-05,69539
724,20190819T19-05,71936
725,20190819T18-05,73323
726,20190819T17-05,73793
727,20190819T16-05,73691
728,20190819T15-05,72554
729,20190819T14-05,69944
730,20190819T13-05,66473
731,20190819T12-05,62781
732,20190819T11-05,59023
733,20190819T10-05,55153
734,20190819T09-05,51563
735,20190819T08-05,49503
736,20190819T07-05,49167
737,20190819T06-05,47239
738,20190819T05-05,46131
739,20190819T04-05,46258
740,20190819T03-05,47297
741,20190819T02-05,49080
742,20190819T01-05,51600
743,20190819T00-05,55025
744,20190818T23-05,59371
745,20190818T22-05,63512
746,20190818T21-05,66134
747,20190818T20-05,67946
748,20190818T19-05,70297
749,20190818T18-05,71442
750,20190818T17-05,71141
751,20190818T16-05,69902
752,20190818T15-05,67877
753,20190818T14-05,65212
754,20190818T13-05,62280
755,20190818T12-05,59192
756,20190818T11-05,55462
757,20190818T10-05,51352
758,20190818T09-05,47003
759,20190818T08-05,44265
760,20190818T07-05,44256
761,20190818T06-05,44331
762,20190818T05-05,44780
763,20190818T04-05,45842
764,20190818T03-05,47315
765,20190818T02-05,49291
766,20190818T01-05,51883
767,20190818T00-05,55025
768,20190817T23-05,58599
769,20190817T22-05,61939
770,20190817T21-05,64355
771,20190817T20-05,66444
772,20190817T19-05,68989
773,20190817T18-05,70476
774,20190817T17-05,70751
775,20190817T16-05,70200
776,20190817T15-05,68967
777,20190817T14-05,66893
778,20190817T13-05,64198
779,20190817T12-05,60879
780,20190817T11-05,56852
781,20190817T10-05,52492
782,20190817T09-05,48165
783,20190817T08-05,45306
784,20190817T07-05,45021
785,20190817T06-05,44832
786,20190817T05-05,44986
787,20190817T04-05,45941
788,20190817T03-05,47486
789,20190817T02-05,49448
790,20190817T01-05,52190
791,20190817T00-05,55457
792,20190816T23-05,59183
793,20190816T22-05,62820
794,20190816T21-05,65572
795,20190816T20-05,67753
796,20190816T19-05,70479
797,20190816T18-05,72275
798,20190816T17-05,72772
799,20190816T16-05,72590
800,20190816T15-05,71526
801,20190816T14-05,69557
802,20190816T13-05,66353
803,20190816T12-05,62599
804,20190816T11-05,58213
805,20190816T10-05,53655
806,20190816T09-05,49843
807,20190816T08-05,47467
808,20190816T07-05,46889
809,20190816T06-05,45166
810,20190816T05-05,44124
811,20190816T04-05,44363
812,20190816T03-05,45546
813,20190816T02-05,47513
814,20190816T01-05,50028
815,20190816T00-05,53603
816,20190815T23-05,57946
817,20190815T22-05,62362
818,20190815T21-05,65160
819,20190815T20-05,67232
820,20190815T19-05,69436
821,20190815T18-05,70430
822,20190815T17-05,70964
823,20190815T16-05,70855
824,20190815T15-05,69751
825,20190815T14-05,67767
826,20190815T13-05,64872
827,20190815T12-05,60978
828,20190815T11-05,56599
829,20190815T10-05,52175
830,20190815T09-05,48398
831,20190815T08-05,46228
832,20190815T07-05,45597
833,20190815T06-05,43594
834,20190815T05-05,42538
835,20190815T04-05,42783
836,20190815T03-05,43881
837,20190815T02-05,45734
838,20190815T01-05,48416
839,20190815T00-05,51936
840,20190814T23-05,56222
841,20190814T22-05,60499
842,20190814T21-05,63525
843,20190814T20-05,65886
844,20190814T19-05,69295
845,20190814T18-05,71235
846,20190814T17-05,71652
847,20190814T16-05,70782
848,20190814T15-05,69259
